Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
82,37,4.6,19.876428,75.364792,19.956428,75.444792,18022022,233000,234500,3,0,0,2,0,2,1,0,42
83,24,5.0,12.939496,77.625999,12.949496,77.635999,1032022,105000,105500,3,0,0,1,0,1,0,1,23
84,25,4.2,17.433809,78.386744,17.543809,78.496744,23032022,212500,214000,5,3,0,3,0,1,0,1,39
85,32,4.6,23.374878,85.335739,23.384878,85.345739,1042022,101000,102000,5,0,2,1,0,1,0,1,25
86,34,4.7,-27.163303,78.057044,27.233303,78.127044,16022022,230000,230500,6,0,1,1,1,0,0,1,15
87,38,4.9,22.74806,75.8934,22.76806,75.9134,11032022,84000,85500,2,0,2,1,1,1,0,0,15
88,36,4.8,26.891191,75.802083,26.981191,75.892083,14032022,175000,175500,1,1,2,2,2,0,0,1,15
89,25,5.0,21.160437,72.774209,21.270437,72.884209,18032022,202500,204000,5,3,1,3,0,0,0,1,15
90,29,5.0,12.316967,76.603067,12.366967,76.653067,1042022,222000,222500,1,0,0,1,0,0,0,1,18
91,36,4.7,18.927584,72.832585,19.017584,72.922585,4042022,234000,235000,6,0,2,1,2,0,0,1,29
92,33,4.7,11.022298,76.998349,11.072298,77.048349,11032022,232500,233000,3,0,0,0,0,0,0,1,20
93,36,4.4,12.325461,76.632278,12.365461,76.672278,13032022,124000,125500,2,2,2,3,1,1,0,1,39
94,21,4.8,18.530963,73.828972,18.640963,73.938972,4032022,233000,234500,4,0,0,0,0,0,0,1,19
95,25,4.8,17.458998,78.500366,17.488998,78.530366,26032022,235500,1000,2,0,1,0,1,1,0,0,19
96,23,4.8,19.1813,72.836191,19.3113,72.966191,16032022,225000,230000,4,0,0,3,0,0,0,1,17
97,25,4.6,11.022477,76.995667,11.032477,77.005667,1032022,102500,104000,5,0,2,0,0,1,0,0,15
98,24,4.3,22.727021,75.884167,22.747021,75.904167,15032022,84500,90000,6,0,0,3,0,0,0,0,19
99,27,4.6,12.979166,77.640709,13.069166,77.730709,4032022,212500,214000,6,3,0,2,0,1,0,1,29
100,23,4.8,18.994237,72.825553,19.104237,72.935553,18032022,223500,224000,2,0,2,0,1,1,0,0,22
101,21,4.3,12.284747,76.625861,12.414747,76.755861,23032022,201000,202000,3,3,1,1,1,0,0,1,42
102,27,4.7,21.175975,72.795503,21.195975,72.815503,15032022,105500,111000,6,0,2,0,1,0,0,0,12
103,32,4.2,11.000762,76.981876,11.130762,77.111876,8032022,203500,204500,2,3,1,0,0,1,0,1,38
36,25,4.6,21.173343,72.792731,21.283343,72.902731,10032022,232000,233500,1,0,0,1,0,1,0,1,23
104,39,4.7,26.479108,80.315042,26.499108,80.335042,11022022,103500,105000,2,0,1,3,1,0,0,1,15
105,27,4.6,21.175104,72.804342,21.255104,72.884342,14032022,234500,235000,1,0,0,0,0,1,0,1,24
106,39,3.8,19.176269,72.836721,19.286269,72.946721,16032022,195500,200000,4,3,1,1,0,0,0,1,37
107,31,4.8,12.975377,77.696664,13.025377,77.746664,1032022,221500,222500,6,0,1,0,1,0,0,1,24
108,31,4.8,23.359194,85.325447,23.419194,85.385447,1032022,231000,231500,1,0,2,2,2,0,0,1,13
109,20,4.8,12.297954,76.665169,12.307954,76.675169,30032022,91500,93000,2,0,0,1,0,0,0,0,16
110,36,4.9,23.359407,85.325055,23.439407,85.405055,2032022,182500,183500,2,1,0,1,0,1,0,0,42
111,20,4.9,23.416792,85.316842,23.506792,85.406842,20032022,221000,222000,6,0,0,3,0,1,0,1,17
112,24,4.6,26.892312,75.806896,26.922313,75.836896,3042022,205000,210500,2,3,0,1,0,0,0,1,25
113,29,4.649381708898515,22.31279,73.170283,22.42279,73.280283,2042022,183095,182500,3,1,3,0,2,0,0,1,25
114,39,4.2,22.761593,75.886362,22.871593,75.996362,29032022,184500,185000,3,1,1,0,1,0,0,1,39
115,37,4.8,11.026117,76.944652,11.066117,76.984652,17032022,145500,150500,1,2,2,3,1,0,0,1,18
40,32,4.9,13.064181,80.236442,13.104181,80.276442,17032022,165000,170000,6,1,2,1,0,1,0,1,28
116,22,4.5,26.483042,80.317833,26.533042,80.367833,15022022,222000,223500,6,0,1,1,1,1,0,1,18
103,23,4.9,11.000762,76.981876,11.130762,77.111876,18032022,0,1500,4,0,1,3,1,0,0,1,18
117,33,4.7,23.359033,85.325347,23.469033,85.435347,8032022,211000,212000,3,3,1,0,1,1,0,1,49
118,23,4.7704131154144065,22.569358,88.433452,22.599358,88.463452,17022022,232500,233500,1,0,0,1,0,0,0,1,15
119,27,4.6,12.914264,77.6784,12.994264,77.7584,31032022,233000,233500,1,0,0,1,0,1,0,1,21
120,34,4.7,19.121999,72.908493,19.161999,72.948493,1032022,142000,143500,1,2,2,0,1,0,0,1,23
121,26,5.0,21.157729,72.768726,21.167729,72.778726,3042022,101500,102500,3,0,2,3,1,1,0,0,11
122,31,4.6,22.311603,73.165012,22.371603,73.225012,24032022,212000,213500,2,3,0,0,0,0,0,1,25
123,32,4.9,18.536562,73.896485,18.556562,73.916485,7032022,85000,85500,3,0,2,0,0,0,0,1,18
124,27,4.7,22.745536,75.893106,22.765536,75.913106,9032022,90000,90500,2,0,1,2,0,0,0,1,14
73,21,4.9,12.933298,77.614293,13.023298,77.704293,12032022,174500,180000,4,1,0,1,0,2,0,1,36
125,28,4.8,12.939496,77.625999,12.989496,77.675999,24032022,231000,231500,3,0,1,1,0,0,0,1,18
126,24,4.9,0.0,0.0,0.04,0.04,30032022,163500,165000,3,1,1,3,1,1,0,0,17
17,33,4.4,17.426228,78.407495,17.436228,78.417495,5032022,83000,84000,6,0,0,0,0,1,0,1,28
127,20,4.6,12.934365,77.616155,13.024365,77.706155,18032022,203500,205000,3,3,0,2,0,0,1,1,44
128,31,4.3,11.003669,76.976494,11.063669,77.036494,13032022,232500,234000,4,0,0,0,0,1,0,1,20
129,28,4.7220005528080495,18.543626,73.905101,18.573626,73.935101,9032022,220495,234000,5,0,2,0,1,0,0,0,19
74,36,5.0,22.311358,73.164798,22.381358,73.234798,31032022,195500,200500,3,3,1,0,0,1,0,1,35
130,31,4.2,12.986047,80.218114,13.096047,80.328114,23032022,212000,213000,6,3,0,3,0,1,0,1,50
131,39,4.1,17.41233,78.449654,17.47233,78.509654,24032022,214500,215000,5,3,1,3,1,1,0,1,34
132,29,4.6,21.17106,72.789292,21.25106,72.869292,12032022,194000,195500,1,3,2,3,2,0,0,1,17
133,29,4.6,21.186884,72.793616,21.226884,72.833616,3032022,145000,150000,6,2,1,0,1,0,0,0,23
134,37,4.9,11.026117,76.944652,11.056117,76.974652,9032022,181000,182000,3,1,0,2,0,1,0,1,27
135,33,4.7,0.0,0.0,0.04,0.04,17032022,122000,123000,2,2,0,0,0,0,0,0,26
136,31,3.9,19.065838,72.832658,19.135838,72.902658,18032022,234000,235000,2,0,1,2,1,1,0,1,35
137,37,4.6,0.0,0.0,0.04,0.04,19032022,125000,125500,4,2,0,1,0,1,0,0,41
138,26,4.4,12.98041,77.640489,13.04041,77.700489,7032022,232000,233000,6,0,0,2,0,0,0,0,23
97,24,4.6,11.022477,76.995667,11.132477,77.105667,4032022,175000,180000,5,1,0,0,0,0,0,1,30
139,23,4.8,0.0,0.0,0.02,0.02,3042022,102500,103500,4,0,1,2,1,1,0,1,19
137,36,4.9,0.0,0.0,0.01,0.01,11032022,91000,92500,4,0,1,2,1,1,0,1,27
140,39,4.8,12.310972,76.659264,12.350972,76.699264,1042022,123000,124500,2,2,0,0,0,1,0,1,28
141,20,4.7,11.025083,77.015393,11.105083,77.095393,20032022,171000,172000,6,1,0,1,0,1,0,1,24
90,20,5.0,12.316967,76.603067,12.446967,76.733067,31032022,191500,193000,2,3,0,3,0,1,0,0,36
142,29,4.3,22.538731,88.364878,22.598731,88.424878,13022022,235000,235500,6,0,0,2,0,0,0,1,28
143,36,4.8,11.001753,76.986241,11.111753,77.096241,29032022,184500,185000,3,1,2,1,0,1,0,0,31
144,36,4.0,22.310237,73.158921,22.400237,73.248921,16032022,204000,204500,1,3,0,3,0,3,0,1,44
145,22,4.8,23.359033,85.325347,23.439033,85.405347,14032022,221000,222500,4,0,1,1,1,1,0,1,15
35,38,4.4,18.593481,73.785901,18.663481,73.855901,31032022,172000,172500,4,1,0,2,0,1,0,1,33
146,39,4.9,21.186438,72.794115,21.236438,72.844115,17032022,195500,201000,3,3,0,2,0,0,0,1,30
147,24,4.9,22.725748,75.898497,22.775748,75.948497,28032022,181500,182500,5,1,1,0,1,1,0,1,22
137,30,4.1,0.0,0.0,0.07,0.07,4042022,235000,0,3,0,0,0,0,0,0,1,43
148,35,4.8,17.450851,78.379347,17.540851,78.469347,4032022,172500,173500,3,1,0,3,0,3,0,1,48
149,33,4.5,13.081878,80.248519,13.171878,80.338519,4032022,234500,0,5,0,2,1,2,1,0,1,19
150,39,4.7,10.035573,76.336958,10.105573,76.406958,14022022,183000,183500,4,1,1,0,0,1,0,0,21
151,31,4.3,22.308096,73.167753,22.388096,73.247753,25032022,213500,214500,4,3,1,1,0,0,0,1,44
152,37,4.5,12.975996,80.221898,12.985996,80.231898,17032022,84000,85500,4,0,2,1,1,0,0,1,26
57,37,4.7,12.3085,76.665808,12.3385,76.695808,1042022,223500,224000,4,0,1,2,1,1,0,1,26
153,33,5.0,19.178321,72.834715,19.188321,72.844715,19032022,114500,115000,4,2,1,3,0,1,0,1,31
154,24,4.6,0.0,0.0,0.06,0.06,7032022,232500,234000,5,0,2,3,1,1,0,0,19
155,33,4.5,26.910262,75.783013,26.990262,75.863013,2032022,191000,191500,1,3,1,0,1,0,0,1,18
156,39,4.7,25.443994,81.860187,25.513994,81.930187,16022022,184500,190000,3,1,2,3,0,1,0,1,38
108,37,4.6,23.359194,85.325447,23.449194,85.415447,29032022,181500,182500,2,1,1,0,0,1,0,1,32
157,25,4.9,17.458998,78.500366,17.508998,78.550366,7032022,223000,223500,6,0,2,3,1,1,0,1,17
158,28,4.8,18.530963,73.828972,18.590963,73.888972,3032022,190000,190500,3,1,1,2,1,1,0,0,11
159,38,4.7,12.321214,76.621094,12.361214,76.661094,30032022,131000,132000,4,2,2,2,0,1,0,1,31
160,32,4.431525177169911,26.913483,75.803139,26.983483,75.873139,12032022,177649,175000,6,1,0,1,0,0,0,1,43
57,31,4.6,12.3085,76.665808,12.3685,76.725808,19032022,175500,180500,4,1,0,3,0,0,0,1,25
161,25,4.8,19.055831,72.833984,19.115831,72.893984,15032022,195000,200500,2,3,2,0,0,1,0,1,22
162,35,4.9,12.337928,76.617889,12.407928,76.687889,2032022,211500,212000,3,3,0,1,0,3,0,1,43
163,39,4.7,23.351489,85.324253,23.421489,85.394253,31032022,193500,194500,3,3,0,2,0,1,1,1,42
164,38,3.9,22.728163,75.884212,22.808163,75.964212,6032022,191000,192000,5,3,1,3,0,0,0,1,42
165,35,4.7,13.026286,80.275235,13.056286,80.305235,21032022,212000,213000,3,3,1,1,0,1,0,1,34
166,29,4.7,26.766536,75.837333,26.786536,75.857333,1032022,95000,100500,6,0,1,0,0,1,0,1,17
167,27,4.6,21.149834,72.778666,21.179834,72.808666,24032022,203500,204000,5,3,1,0,1,0,0,1,25
57,38,4.3,12.3085,76.665808,12.3985,76.755808,4042022,211500,212500,6,3,0,3,0,1,1,2,54
168,36,4.9,21.149669,72.772629,21.219669,72.842629,2032022,230000,231500,4,0,2,2,0,0,0,1,21
169,26,4.0,17.411028,78.329645,17.451028,78.369645,1042022,150000,151000,2,2,1,2,0,0,0,1,34
170,26,4.1,26.482581,80.315628,26.572581,80.405628,12022022,194500,195000,3,3,2,3,0,1,0,1,36
171,36,4.9,12.284747,76.625861,12.344747,76.685861,5042022,174500,175500,1,1,1,1,0,0,0,1,17
172,21,4.7,26.911378,75.789034,26.921378,75.799034,3032022,90000,91000,1,0,0,3,0,1,0,1,16
173,35,4.7,13.02978,80.208812,13.10978,80.288812,6042022,200000,200500,1,3,2,3,2,1,0,1,27
174,20,4.5,12.323194,76.630583,12.363194,76.670583,17032022,125000,125500,3,2,2,3,0,1,0,1,26
175,23,4.6,18.563934,73.915367,18.653934,74.005367,31032022,214000,215500,3,3,0,0,0,2,1,1,46
176,37,5.0,22.569367,88.433187,22.629367,88.493187,17022022,195500,200500,1,3,0,2,0,0,0,1,29
177,26,4.8,12.949934,77.699386,13.009934,77.759386,9032022,193500,194000,6,3,0,0,0,1,0,1,23
102,29,5.0,21.175975,72.795503,21.255975,72.875503,27032022,223500,225000,6,0,1,0,1,0,0,0,11
178,26,4.9,22.725835,75.887648,22.835835,75.997648,25032022,171000,172500,5,1,1,0,0,0,0,1,28
179,29,4.8,18.536562,73.896485,18.596562,73.956485,11032022,193500,194000,2,3,0,3,0,1,0,1,25
180,29,4.7,23.416792,85.316842,23.436792,85.336842,3032022,103000,104500,6,0,2,0,0,0,0,1,11
181,21,4.9,30.89286,75.822199,30.92286,75.852199,15022022,181000,182000,4,1,1,3,1,1,0,1,26
182,22,4.3,12.310972,76.659264,12.330972,76.679264,7032022,101000,102500,5,0,0,3,0,1,0,1,23
56,31,4.0,26.913987,75.752891,26.993987,75.832891,18032022,175000,180500,3,1,1,0,0,2,0,1,39
183,20,4.5,11.001753,76.986241,11.021753,77.006241,3042022,85000,90000,3,0,1,0,0,0,0,0,11
184,30,3.9,22.310237,73.158921,22.390237,73.238921,6042022,195500,201000,5,3,2,1,2,0,0,1,32
185,36,4.8,12.933284,77.615428,13.003284,77.685428,6032022,175500,181000,3,1,0,0,0,1,0,1,43
109,24,4.7,12.297954,76.665169,12.337954,76.705169,19032022,153000,154000,3,1,1,2,1,0,0,1,13
186,32,4.7,12.352058,76.60665,12.362058,76.61665,21032022,94000,95000,4,0,2,2,2,0,0,1,25
187,25,5.0,13.086438,80.220672,13.146439,80.280672,19032022,182000,182500,4,1,1,1,0,0,0,1,27
188,27,4.5,17.429585,78.392621,17.469585,78.432621,28032022,153500,155000,4,1,2,1,1,1,0,1,29
189,32,4.1,12.978453,77.643685,13.048453,77.713685,29032022,181500,183000,6,1,0,2,0,1,0,1,33
190,23,4.7,13.044694,80.26147,13.084694,80.30147,17032022,165500,170000,3,1,1,1,0,1,0,0,19
191,39,4.4,12.98041,77.640489,13.11041,77.770489,29032022,181000,181500,1,1,0,3,0,1,0,1,33
55,20,4.8,0.0,0.0,0.06,0.06,21032022,191500,192000,3,3,1,0,0,1,0,1,28
192,20,4.8,26.846156,75.8023,26.926156,75.8823,4032022,182500,183500,4,1,2,1,2,0,0,0,15
193,29,4.6,25.449659,81.839744,25.479659,81.869744,15022022,203000,204500,5,3,1,3,1,1,0,1,29
194,26,4.9,26.911927,75.797282,27.051927,75.937282,29032022,225500,230000,5,0,2,3,1,1,0,1,18
195,25,5.0,10.020683,76.310631,10.030683,76.320631,13022022,105500,110000,5,0,1,3,0,1,0,1,14
69,34,4.7,12.935662,77.61413,12.975662,77.65413,3042022,160000,161500,4,1,1,0,0,1,0,1,30
196,31,4.9,15.585658,73.743606,15.625658,73.783606,13022022,145000,150500,1,2,0,0,0,0,0,1,28
197,24,4.7,0.0,0.0,0.13,0.13,16032022,202000,202500,3,3,0,0,0,1,0,1,39
198,30,4.9,17.429585,78.392621,17.519585,78.482621,2042022,190000,191500,2,1,2,3,0,0,0,1,30
166,36,4.8,26.766536,75.837333,26.896536,75.967333,20032022,181500,182000,6,1,0,2,0,1,0,1,36
199,36,4.4,26.846156,75.8023,26.986156,75.9423,29032022,233500,235000,3,0,0,0,0,0,0,1,37
200,26,4.7,26.913987,75.752891,27.053987,75.892891,4032022,193500,194000,2,3,0,3,0,1,0,1,43
201,30,4.6,22.310526,73.170937,22.420526,73.280937,27032022,233500,234500,1,0,2,2,1,1,0,0,29
202,20,4.8,0.0,0.0,0.03,0.03,11022022,180000,181500,5,1,2,1,1,1,0,1,25
38,33,4.7,12.972532,77.608179,13.022532,77.658179,9032022,181000,182500,3,1,2,2,2,1,0,0,15
203,29,4.661484849550105,0.0,0.0,0.07,0.07,2032022,199435,205000,6,3,1,0,1,0,0,1,24
204,34,4.0,19.103249,72.846749,19.193249,72.936749,12032022,211000,211500,4,3,0,0,0,2,0,1,39
205,36,4.6,17.426228,78.407495,17.506228,78.487495,4042022,234000,235000,4,0,0,2,0,1,0,1,20
206,33,4.6,26.471617,80.313564,26.491617,80.333564,11022022,110000,111000,3,0,1,2,0,1,0,1,15
207,22,4.8,19.866969,75.318894,19.976969,75.428894,18022022,224500,230000,6,0,1,1,0,1,0,1,16
35,38,4.7,18.593481,73.785901,18.603481,73.795901,19032022,110000,111500,1,0,2,1,1,1,0,1,19
208,27,4.9,12.906229,77.596791,12.986229,77.676791,2032022,232500,234000,3,0,2,1,1,0,0,1,20
209,32,4.8,26.482581,80.315628,26.552581,80.385628,14022022,210000,211000,1,3,2,3,1,1,0,1,25
210,26,4.8,12.933298,77.614293,13.013298,77.694293,27032022,193000,194000,2,3,0,0,0,1,0,1,43
211,29,4.5,22.751857,75.866699,22.881857,75.996699,4032022,225500,230500,4,0,0,1,0,0,0,0,15
212,31,4.5,11.010375,76.95295,11.090375,77.03295,6042022,202500,204000,1,3,0,2,0,0,0,0,29
213,28,4.6,17.483216,78.552111,17.523216,78.592111,26032022,123500,125000,5,2,2,1,0,0,0,1,14
214,21,4.8,27.160934,78.044095,27.220934,78.104095,11022022,185500,190000,1,1,1,2,0,1,0,1,11
215,21,4.0,11.006686,76.951736,11.056686,77.001736,28032022,224500,225000,6,0,0,2,0,0,0,1,19
